table_name,table_description,curated_dbt_type,column_name,column_description,source_data_type,column_type,column_tests
C_CONTACT,Alliant source table called C_CONTACT,scd2,contact_sid,Column in C_CONTACT called CONTACT_SID,"NUMBER(38,0)",unique_key,unique
C_CONTACT,Alliant source table called C_CONTACT,scd2,unique_identity,Column in C_CONTACT called UNIQUE_IDENTITY,VARCHAR(50),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,contact_id,Column in C_CONTACT called CONTACT_ID,VARCHAR(60),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,formatted_name,Column in C_CONTACT called FORMATTED_NAME,VARCHAR(255),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,sort_by_name,Column in C_CONTACT called SORT_BY_NAME,VARCHAR(255),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,name_prefix,Column in C_CONTACT called NAME_PREFIX,VARCHAR(20),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,first_name,Column in C_CONTACT called FIRST_NAME,VARCHAR(60),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,middle_name,Column in C_CONTACT called MIDDLE_NAME,VARCHAR(60),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,last_name,Column in C_CONTACT called LAST_NAME,VARCHAR(60),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,name_suffix,Column in C_CONTACT called NAME_SUFFIX,VARCHAR(15),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,company_name,Column in C_CONTACT called COMPANY_NAME,VARCHAR(60),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,version_number,Column in C_CONTACT called VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,address_version_number,Column in C_CONTACT called ADDRESS_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,alias_version_number,Column in C_CONTACT called ALIAS_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,delivery_group_version_number,Column in C_CONTACT called DELIVERY_GROUP_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,email_version_number,Column in C_CONTACT called EMAIL_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,file_system_version_number,Column in C_CONTACT called FILE_SYSTEM_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,keyword_version_number,Column in C_CONTACT called KEYWORD_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,recipient_version_number,Column in C_CONTACT called RECIPIENT_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,udf_version_number,Column in C_CONTACT called UDF_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,alliant_user_sid,Column in C_CONTACT called ALLIANT_USER_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,hold_delivery_flag,Column in C_CONTACT called HOLD_DELIVERY_FLAG,VARCHAR(1),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,has_file_system_address_flag,Column in C_CONTACT called HAS_FILE_SYSTEM_ADDRESS_FLAG,VARCHAR(1),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,participant_flag,Column in C_CONTACT called PARTICIPANT_FLAG,VARCHAR(1),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,guild_flag,Column in C_CONTACT called GUILD_FLAG,VARCHAR(1),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,verified_flag,Column in C_CONTACT called VERIFIED_FLAG,VARCHAR(1),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,status_sid,Column in C_CONTACT called STATUS_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,contact_type_sid,Column in C_CONTACT called CONTACT_TYPE_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,admin_class_sid,Column in C_CONTACT called ADMIN_CLASS_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,approval_sid,Column in C_CONTACT called APPROVAL_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,revision_nbr,Column in C_CONTACT called REVISION_NBR,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,revision_eff_date,Column in C_CONTACT called REVISION_EFF_DATE,TIMESTAMP_NTZ,,
C_CONTACT,Alliant source table called C_CONTACT,scd2,revision_exp_date,Column in C_CONTACT called REVISION_EXP_DATE,TIMESTAMP_NTZ,,
C_CONTACT,Alliant source table called C_CONTACT,scd2,active_revision_flag,Column in C_CONTACT called ACTIVE_REVISION_FLAG,VARCHAR(1),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,original_contact_sid,Column in C_CONTACT called ORIGINAL_CONTACT_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,note_sid,Column in C_CONTACT called NOTE_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,link_version_number,Column in C_CONTACT called LINK_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,attachment_version_number,Column in C_CONTACT called ATTACHMENT_VERSION_NUMBER,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,comment,Column in C_CONTACT called COMMENT,VARCHAR(1000),,
C_CONTACT,Alliant source table called C_CONTACT,scd2,modified_by_user_sid,Column in C_CONTACT called MODIFIED_BY_USER_SID,"NUMBER(38,0)",,
C_CONTACT,Alliant source table called C_CONTACT,scd2,modified_datetime,Column in C_CONTACT called MODIFIED_DATETIME,TIMESTAMP_NTZ,updated_date,
C_CONTACT,Alliant source table called C_CONTACT,scd2,system_modified_datetime,Column in C_CONTACT called SYSTEM_MODIFIED_DATETIME,TIMESTAMP_NTZ,updated_date,
C_CONTACT_TYPE,Alliant source table called C_CONTACT_TYPE,scd2,contact_type_sid,Column in C_CONTACT_TYPE called CONTACT_TYPE_SID,"NUMBER(38,0)",unique_key,unique
C_CONTACT_TYPE,Alliant source table called C_CONTACT_TYPE,scd2,unique_identity,Column in C_CONTACT_TYPE called UNIQUE_IDENTITY,VARCHAR(50),,
